"","st_abb","st_code","date","stability","ppt","tmax","tmin","tavg","dday_a0C","dday_a5C","dday_a8C","dday_a10C","dday_a12C","dday_a15C","dday_a18C","dday_a20C","dday_a21C","dday_a25C","dday_a29C","dday_a30C","dday_a31C","dday_a32C","dday_a33C","dday_a34C","dday_b15C","dday_b18C","dday_b21C"
"25","AL",1,20170125,"stable",0.018,17.737,3.194,10.465,10.466,5.813,3.73,2.601,1.655,0.612,0.083,0.002,0,0,0,0,0,0,0,0,5.147,7.618,10.535
"26","AL",1,20170126,"stable",7.512,21.983,4.923,13.453,13.453,8.585,6.153,4.785,3.584,2.1,1.01,0.498,0.308,0,0,0,0,0,0,0,3.647,5.557,7.854
"27","AL",1,20170127,"stable",0.005,13.433,0.381,6.907,6.965,3.195,1.656,0.915,0.414,0.047,0,0,0,0,0,0,0,0,0,0,8.14,11.093,14.093
"28","AL",1,20170128,"stable",0.004,8.894,-0.913,3.991,4.296,1.199,0.282,0.061,0,0,0,0,0,0,0,0,0,0,0,0,11.009,14.009,17.009
"29","AL",1,20170129,"stable",0,11.383,-1.429,4.977,5.282,2.047,0.774,0.228,0.021,0,0,0,0,0,0,0,0,0,0,0,10.023,13.023,16.023
"30","AL",1,20170130,"stable",0.007,13.58,-1.224,6.178,6.434,3.084,1.688,1.017,0.516,0.079,0,0,0,0,0,0,0,0,0,0,8.901,11.822,14.822
"31","AL",1,20170131,"stable",0,16.645,-0.625,8.01,8.165,4.478,2.813,1.896,1.143,0.375,0.038,0.002,0,0,0,0,0,0,0,0,7.364,10.028,12.99
"32","AR",5,20170101,"stable",1.999,10.667,4.43,7.548,7.55,2.814,0.885,0.298,0.057,0.001,0,0,0,0,0,0,0,0,0,0,7.453,10.452,13.452
"33","AR",5,20170102,"stable",2.611,10.055,5.479,7.767,7.77,3.036,0.994,0.34,0.082,0,0,0,0,0,0,0,0,0,0,0,7.233,10.233,13.233
"34","AR",5,20170103,"stable",14.007,14.739,7.875,11.307,11.307,6.307,3.46,2.037,1.037,0.268,0.023,0,0,0,0,0,0,0,0,0,3.961,6.716,9.693
"35","AR",5,20170104,"stable",0.023,13.919,-1.883,6.018,6.604,3.233,1.781,1.047,0.532,0.149,0.023,0.002,0,0,0,0,0,0,0,0,9.131,12.005,14.982
"36","AR",5,20170105,"stable",0,3.705,-3.041,0.332,1.445,0.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.668,17.668,20.668
"37","AR",5,20170106,"stable",2.698,1.133,-7.2,-3.033,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.033,21.033,24.033
"38","AR",5,20170107,"stable",0.598,-5.155,-11.906,-8.531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.531,26.531,29.531
"39","AR",5,20170108,"stable",0.007,-0.84,-11.905,-6.373,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.373,24.373,27.373
"40","AR",5,20170109,"stable",0.004,1.362,-9.236,-3.937,0.426,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.937,21.937,24.937
"41","AR",5,20170110,"stable",0.014,13.663,-4.754,4.454,5.549,2.695,1.413,0.751,0.284,0.017,0,0,0,0,0,0,0,0,0,0,10.562,13.546,16.546
"42","AR",5,20170111,"stable",0.728,20.55,9.828,15.189,15.189,10.194,7.309,5.537,3.923,1.964,0.669,0.199,0.088,0,0,0,0,0,0,0,1.775,3.48,5.899
"43","AR",5,20170112,"stable",0.076,22.35,14.066,18.208,18.208,13.208,10.227,8.298,6.43,3.803,1.632,0.69,0.375,0,0,0,0,0,0,0,0.595,1.424,3.167
"44","AR",5,20170113,"stable",0.653,22.192,6.464,14.328,14.33,9.593,7.083,5.581,4.225,2.529,1.251,0.624,0.384,0.003,0,0,0,0,0,0,3.201,4.923,7.056
"45","AR",5,20170114,"stable",3.36,9.394,4.768,7.081,7.081,2.952,1.529,0.928,0.533,0.188,0.038,0.002,0,0,0,0,0,0,0,0,8.108,10.958,13.919
"46","AR",5,20170115,"stable",2.664,10.148,5.423,7.786,7.786,3.098,1.379,0.763,0.412,0.152,0.03,0.004,0,0,0,0,0,0,0,0,7.366,10.245,13.214
"47","AR",5,20170116,"stable",4.331,11.535,6.308,8.921,8.921,4.058,1.854,0.95,0.439,0.098,0.006,0,0,0,0,0,0,0,0,0,6.177,9.085,12.079
"48","AR",5,20170117,"stable",13.717,18.637,7.08,12.859,12.859,7.963,5.331,3.788,2.494,1.05,0.246,0.049,0.014,0,0,0,0,0,0,0,3.191,5.388,8.155
"49","AR",5,20170118,"stable",5.395,10.818,5.328,8.073,8.073,3.447,1.423,0.541,0.084,0,0,0,0,0,0,0,0,0,0,0,6.927,9.927,12.927
"50","AR",5,20170119,"stable",9.228,9.664,5.919,7.791,7.791,2.981,0.9,0.267,0.065,0.004,0,0,0,0,0,0,0,0,0,0,7.213,10.209,13.209
"51","AR",5,20170120,"stable",2.239,13.057,8.03,10.544,10.544,5.548,2.743,1.286,0.41,0.023,0,0,0,0,0,0,0,0,0,0,4.48,7.456,10.456
"52","AR",5,20170121,"stable",0.07,19.907,9.279,14.593,14.593,9.593,6.651,4.894,3.361,1.581,0.458,0.124,0.053,0,0,0,0,0,0,0,1.988,3.866,6.46
"53","AR",5,20170122,"stable",12.303,19.916,8.897,14.406,14.406,9.407,6.474,4.714,3.217,1.521,0.404,0.051,0.006,0,0,0,0,0,0,0,2.115,3.997,6.6
"54","AR",5,20170123,"stable",6.31,13.524,4.187,8.856,8.856,4.127,2.027,1.038,0.367,0.018,0,0,0,0,0,0,0,0,0,0,6.162,9.144,12.144
"55","AR",5,20170124,"stable",0,13.242,1.303,7.273,7.296,3.225,1.598,0.802,0.296,0.022,0,0,0,0,0,0,0,0,0,0,7.75,10.727,13.727
"56","AR",5,20170125,"stable",0.021,18.768,2.749,10.759,10.764,6.204,4.146,3.008,2.039,0.923,0.278,0.078,0.032,0,0,0,0,0,0,0,5.164,7.519,10.273
"57","AR",5,20170126,"stable",0,15.685,0.574,8.129,8.215,4.331,2.673,1.818,1.157,0.475,0.115,0.024,0.007,0,0,0,0,0,0,0,7.346,9.986,12.877
"58","AR",5,20170127,"stable",0.002,7.555,-2.891,2.332,3.089,0.758,0.197,0.046,0.002,0,0,0,0,0,0,0,0,0,0,0,12.668,15.668,18.668
"59","AR",5,20170128,"stable",0,9.831,-2.828,3.501,4.142,1.366,0.385,0.073,0,0,0,0,0,0,0,0,0,0,0,0,11.499,14.499,17.499
"60","AR",5,20170129,"stable",0,11.675,-0.902,5.387,5.591,2.233,0.914,0.342,0.064,0,0,0,0,0,0,0,0,0,0,0,9.613,12.613,15.613
"61","AR",5,20170130,"stable",0,12.88,0.004,6.442,6.513,2.85,1.367,0.651,0.219,0.003,0,0,0,0,0,0,0,0,0,0,8.56,11.558,14.558
"62","AR",5,20170131,"stable",0,19.169,0.157,9.663,9.699,5.748,3.926,2.888,1.99,0.93,0.268,0.072,0.03,0,0,0,0,0,0,0,6.267,8.605,11.367
"63","AZ",4,20170101,"stable",4.824,9.969,4.154,7.061,7.063,2.962,1.492,0.833,0.401,0.058,0,0,0,0,0,0,0,0,0,0,7.996,10.939,13.939
"64","AZ",4,20170102,"stable",4.353,8.679,2.021,5.35,5.445,1.8,0.648,0.239,0.051,0,0,0,0,0,0,0,0,0,0,0,9.65,12.65,15.65
"65","AZ",4,20170103,"stable",0.232,7.816,0.743,4.279,4.482,1.408,0.585,0.263,0.061,0,0,0,0,0,0,0,0,0,0,0,10.721,13.721,16.721
"66","AZ",4,20170104,"stable",0.03,10.258,0.724,5.491,5.67,2.164,1.028,0.578,0.264,0.014,0,0,0,0,0,0,0,0,0,0,9.524,12.509,15.509
"67","AZ",4,20170105,"stable",0.542,13.129,1.489,7.309,7.383,3.47,1.885,1.198,0.713,0.245,0.014,0,0,0,0,0,0,0,0,0,7.936,10.705,13.691
"68","AZ",4,20170106,"stable",2.343,13.184,1.06,7.122,7.494,3.781,2.178,1.445,0.909,0.382,0.072,0.008,0.001,0,0,0,0,0,0,0,8.26,10.95,13.879
"69","AZ",4,20170107,"stable",0.125,8.447,-3.08,2.684,4.411,1.956,1.042,0.622,0.316,0.044,0,0,0,0,0,0,0,0,0,0,12.36,15.316,18.316
"70","AZ",4,20170108,"stable",0.121,10.485,-2.036,4.224,5.292,2.34,1.328,0.855,0.51,0.16,0.015,0,0,0,0,0,0,0,0,0,10.936,13.79,16.776
"71","AZ",4,20170109,"stable",0.279,16.628,2.827,9.728,9.781,5.512,3.494,2.459,1.689,0.859,0.353,0.15,0.079,0,0,0,0,0,0,0,6.131,8.626,11.352
"72","AZ",4,20170110,"stable",1.482,15.069,4.321,9.695,9.695,5.114,3.008,1.974,1.259,0.572,0.167,0.054,0.023,0,0,0,0,0,0,0,5.877,8.472,11.328
"73","AZ",4,20170111,"stable",0,14.688,3.773,9.231,9.23,4.67,2.677,1.757,1.114,0.479,0.11,0.009,0,0,0,0,0,0,0,0,6.248,8.879,11.769
"74","AZ",4,20170112,"stable",0.065,14.212,3.157,8.685,8.693,4.31,2.389,1.5,0.888,0.33,0.045,0,0,0,0,0,0,0,0,0,6.645,9.36,12.315
"75","AZ",4,20170113,"stable",0.815,13.167,2.544,7.855,7.884,3.723,2.081,1.376,0.903,0.37,0.065,0.003,0,0,0,0,0,0,0,0,7.515,10.21,13.145
"76","AZ",4,20170114,"stable",1.465,13.137,3.879,8.508,8.511,4.13,2.275,1.429,0.809,0.254,0.007,0,0,0,0,0,0,0,0,0,6.746,9.499,12.492
"77","AZ",4,20170115,"stable",5.738,12.305,4.176,8.241,8.241,3.843,2.136,1.334,0.774,0.24,0.005,0,0,0,0,0,0,0,0,0,6.999,9.764,12.759
"78","AZ",4,20170116,"stable",1.403,9.605,3.071,6.338,6.357,2.407,1.039,0.498,0.214,0.043,0,0,0,0,0,0,0,0,0,0,8.705,11.662,14.662
"79","AZ",4,20170117,"stable",0.411,10.346,0.697,5.521,5.663,2.134,0.961,0.496,0.236,0.025,0,0,0,0,0,0,0,0,0,0,9.504,12.479,15.479
"80","AZ",4,20170118,"stable",0.127,11.5,-0.456,5.522,5.846,2.466,1.262,0.72,0.345,0.063,0,0,0,0,0,0,0,0,0,0,9.541,12.478,15.478
"81","AZ",4,20170119,"stable",0.117,12.316,-0.369,5.974,6.327,2.857,1.511,0.911,0.492,0.148,0.009,0,0,0,0,0,0,0,0,0,9.174,12.035,15.026
"82","AZ",4,20170120,"stable",4.832,8.048,1.625,4.836,5.079,1.927,0.944,0.516,0.225,0.031,0,0,0,0,0,0,0,0,0,0,10.194,13.164,16.164
"83","AZ",4,20170121,"stable",14.999,7.023,2.299,4.661,4.837,1.734,0.721,0.293,0.067,0.001,0,0,0,0,0,0,0,0,0,0,10.34,13.339,16.339
"84","AZ",4,20170122,"stable",2.357,7.32,-1.564,2.878,3.949,1.45,0.626,0.316,0.111,0.005,0,0,0,0,0,0,0,0,0,0,12.127,15.122,18.122
"85","AZ",4,20170123,"stable",2.723,8.733,-0.714,4.01,4.921,2.088,1.105,0.671,0.348,0.063,0,0,0,0,0,0,0,0,0,0,11.053,13.99,16.99
"86","AZ",4,20170124,"stable",5.819,10.172,0.189,5.181,5.568,2.355,1.289,0.825,0.457,0.095,0,0,0,0,0,0,0,0,0,0,9.914,12.819,15.819
"87","AZ",4,20170125,"stable",0.994,6.105,-4.199,0.953,2.767,0.877,0.349,0.134,0.021,0,0,0,0,0,0,0,0,0,0,0,14.047,17.047,20.047
"88","AZ",4,20170126,"stable",0.099,6.264,-6.522,-0.129,2.602,0.866,0.358,0.153,0.036,0,0,0,0,0,0,0,0,0,0,0,15.129,18.129,21.129
"89","AZ",4,20170127,"stable",0.046,6.793,-7.012,-0.11,2.817,1.037,0.448,0.204,0.056,0,0,0,0,0,0,0,0,0,0,0,15.11,18.11,21.11
"90","AZ",4,20170128,"stable",0.011,6.045,-5.854,0.095,2.719,0.942,0.403,0.173,0.034,0,0,0,0,0,0,0,0,0,0,0,14.905,17.905,20.905
"91","AZ",4,20170129,"stable",0.011,11.275,-4.798,3.239,4.881,2.178,1.17,0.68,0.336,0.073,0,0,0,0,0,0,0,0,0,0,11.834,14.761,17.761
"92","AZ",4,20170130,"stable",0.009,14.21,-1.967,6.122,6.915,3.571,2.185,1.524,0.985,0.43,0.137,0.024,0.003,0,0,0,0,0,0,0,9.308,12.015,14.881
"93","AZ",4,20170131,"stable",0.001,16.916,-1.159,7.878,8.521,4.859,3.181,2.281,1.569,0.783,0.287,0.11,0.049,0,0,0,0,0,0,0,7.905,10.408,13.17
"94","CA",6,20170101,"stable",3.76,9.559,0.137,4.848,5.341,1.884,0.736,0.307,0.091,0.022,0.001,0,0,0,0,0,0,0,0,0,10.174,13.153,16.152
"95","CA",6,20170102,"stable",1.864,8.195,-0.229,3.983,4.748,1.669,0.649,0.255,0.071,0.014,0,0,0,0,0,0,0,0,0,0,11.031,14.017,17.017
"96","CA",6,20170103,"stable",4.236,6.021,0.557,3.289,4.208,1.201,0.307,0.066,0.019,0,0,0,0,0,0,0,0,0,0,0,11.711,14.711,17.711
"97","CA",6,20170104,"stable",19.881,8.429,1.896,5.163,5.565,1.959,0.65,0.201,0.033,0,0,0,0,0,0,0,0,0,0,0,9.837,12.837,15.837
"98","CA",6,20170105,"stable",14.218,9.696,2.14,5.918,6.629,2.832,1.298,0.644,0.236,0.02,0,0,0,0,0,0,0,0,0,0,9.102,12.082,15.082
"99","CA",6,20170106,"stable",2.469,8.596,-2.1,3.248,5.173,2.277,1.158,0.66,0.342,0.086,0.026,0.009,0.003,0,0,0,0,0,0,0,11.839,14.778,17.755
"100","CA",6,20170107,"stable",4.242,7.559,-3.086,2.237,4.072,1.395,0.534,0.252,0.103,0.009,0,0,0,0,0,0,0,0,0,0,12.773,15.763,18.763
"101","CA",6,20170108,"stable",25.067,10.153,2.232,6.192,6.511,2.63,1.163,0.557,0.242,0.046,0.01,0,0,0,0,0,0,0,0,0,8.854,11.818,14.808
"102","CA",6,20170109,"stable",33.685,14.355,5.924,10.139,10.142,5.508,3.291,2.136,1.23,0.419,0.098,0.029,0.017,0,0,0,0,0,0,0,5.28,7.958,10.877
"103","CA",6,20170110,"stable",13.886,10.627,4.876,7.752,7.867,3.738,1.851,0.973,0.422,0.065,0.014,0.001,0,0,0,0,0,0,0,0,7.313,10.262,13.248
"104","CA",6,20170111,"stable",28.455,10.808,5.029,7.919,7.963,3.659,1.721,0.824,0.298,0.049,0.013,0.001,0,0,0,0,0,0,0,0,7.13,10.095,13.081
"105","CA",6,20170112,"stable",6.882,10.188,3.386,6.787,7.18,3.294,1.58,0.852,0.39,0.088,0.024,0.006,0.001,0,0,0,0,0,0,0,8.301,11.237,14.215
"106","CA",6,20170113,"stable",6.493,7.584,0.694,4.139,4.86,1.636,0.569,0.21,0.072,0.016,0,0,0,0,0,0,0,0,0,0,10.877,13.861,16.861
"107","CA",6,20170114,"stable",1.672,8.708,0.315,4.511,5.225,1.84,0.634,0.212,0.048,0,0,0,0,0,0,0,0,0,0,0,10.489,13.489,16.489
"108","CA",6,20170115,"stable",0.069,10.827,1.03,5.929,6.422,2.81,1.345,0.721,0.332,0.07,0.011,0,0,0,0,0,0,0,0,0,9.141,12.082,15.071
"109","CA",6,20170116,"stable",0.002,10.479,0.432,5.455,5.975,2.436,1.132,0.581,0.252,0.051,0.012,0.001,0,0,0,0,0,0,0,0,9.596,12.557,15.545
"110","CA",6,20170117,"stable",0.03,11.184,-0.089,5.548,6.031,2.506,1.17,0.582,0.221,0.026,0,0,0,0,0,0,0,0,0,0,9.478,12.452,15.452
"111","CA",6,20170118,"stable",1.951,11.761,0.275,6.018,6.29,2.638,1.279,0.692,0.319,0.058,0.003,0,0,0,0,0,0,0,0,0,9.04,11.985,14.982
"112","CA",6,20170119,"stable",24.281,10.053,2.073,6.063,6.134,2.292,0.963,0.459,0.189,0.034,0.004,0,0,0,0,0,0,0,0,0,8.971,11.941,14.937
"113","CA",6,20170120,"stable",14.402,9.038,3.2,6.119,6.314,2.45,0.959,0.399,0.1,0.015,0,0,0,0,0,0,0,0,0,0,8.896,11.881,14.881
"114","CA",6,20170121,"stable",21.702,7.145,1.996,4.571,4.889,1.493,0.463,0.149,0.048,0.009,0,0,0,0,0,0,0,0,0,0,10.438,13.429,16.429
"115","CA",6,20170122,"stable",12.663,8.367,1.964,5.165,5.453,1.867,0.672,0.236,0.059,0.011,0,0,0,0,0,0,0,0,0,0,9.846,12.835,15.835
"116","CA",6,20170123,"stable",22.173,8.258,2.083,5.17,5.543,1.963,0.708,0.261,0.076,0.019,0,0,0,0,0,0,0,0,0,0,9.849,12.83,15.83
"117","CA",6,20170124,"stable",5.023,6.405,-1.221,2.592,3.651,0.922,0.236,0.081,0.035,0.005,0,0,0,0,0,0,0,0,0,0,12.413,15.408,18.408
"118","CA",6,20170125,"stable",0.08,7.565,-2.719,2.423,3.715,1.088,0.31,0.081,0.019,0,0,0,0,0,0,0,0,0,0,0,12.577,15.577,18.577
"119","CA",6,20170126,"stable",0.043,7.856,-2.599,2.629,3.798,1.225,0.423,0.147,0.027,0.001,0,0,0,0,0,0,0,0,0,0,12.373,15.371,18.371
"120","CA",6,20170127,"stable",0.006,9.048,-2.206,3.421,4.397,1.544,0.597,0.23,0.048,0.002,0,0,0,0,0,0,0,0,0,0,11.581,14.579,17.579
"121","CA",6,20170128,"stable",0,10.275,-1.361,4.457,5.251,2.008,0.835,0.365,0.116,0.002,0,0,0,0,0,0,0,0,0,0,10.545,13.543,16.543
"122","CA",6,20170129,"stable",0.004,13.75,-0.014,6.868,7.301,3.564,2.034,1.246,0.642,0.155,0.014,0.002,0.001,0,0,0,0,0,0,0,8.287,11.146,14.133
"123","CA",6,20170130,"stable",0.009,15.444,1.474,8.459,8.71,4.636,2.841,1.913,1.169,0.411,0.099,0.019,0.009,0,0,0,0,0,0,0,6.951,9.64,12.549
"124","CA",6,20170131,"stable",0,17.031,2.112,9.571,9.742,5.449,3.485,2.446,1.602,0.677,0.217,0.075,0.033,0,0,0,0,0,0,0,6.105,8.646,11.461
"125","CO",8,20170101,"stable",0.385,2.787,-9.496,-3.354,0.734,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.354,21.354,24.354
"126","CO",8,20170102,"stable",0.298,3.899,-9.353,-2.727,1.39,0.412,0.137,0.046,0.006,0,0,0,0,0,0,0,0,0,0,0,17.727,20.727,23.727
"127","CO",8,20170103,"stable",1.978,2.828,-9.844,-3.508,1.119,0.372,0.133,0.042,0.004,0,0,0,0,0,0,0,0,0,0,0,18.508,21.508,24.508
"128","CO",8,20170104,"stable",1.097,-2.823,-11.546,-7.184,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.184,25.184,28.184
"129","CO",8,20170105,"stable",7.426,-2.378,-12.641,-7.51,0.218,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.51,25.51,28.51
"130","CO",8,20170106,"stable",6.93,-8.747,-19.863,-14.305,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.305,32.305,35.305
"131","CO",8,20170107,"stable",0.27,-8.198,-23.808,-16.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.003,34.003,37.003
"132","CO",8,20170108,"stable",1.173,-3.325,-20.018,-11.672,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.672,29.672,32.672
"133","CO",8,20170109,"stable",3.585,5.278,-8.128,-1.425,1.716,0.47,0.126,0.025,0.001,0,0,0,0,0,0,0,0,0,0,0,16.425,19.425,22.425
"134","CO",8,20170110,"stable",7.581,8.415,-3.822,2.297,3.643,1.589,0.889,0.526,0.255,0.033,0,0,0,0,0,0,0,0,0,0,12.736,15.703,18.703
"135","CO",8,20170111,"stable",1.44,5.96,-4.071,0.945,2.759,1.013,0.439,0.189,0.047,0,0,0,0,0,0,0,0,0,0,0,14.055,17.055,20.055
"136","CO",8,20170112,"stable",3.157,5.608,-6.891,-0.642,2.141,0.866,0.478,0.295,0.157,0.043,0.006,0,0,0,0,0,0,0,0,0,15.685,18.648,21.642
"137","CO",8,20170113,"stable",2.204,2.365,-7.889,-2.762,0.898,0.182,0.05,0.011,0,0,0,0,0,0,0,0,0,0,0,0,17.762,20.762,23.762
"138","CO",8,20170114,"stable",1.171,1.368,-6.997,-2.815,0.502,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.815,20.815,23.815
"139","CO",8,20170115,"stable",1.869,3.646,-5.878,-1.116,1.175,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.116,19.116,22.116
"140","CO",8,20170116,"stable",4.578,0.902,-4.995,-2.046,0.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.046,20.046,23.046
"141","CO",8,20170117,"stable",2.574,0.3,-7.211,-3.455,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.455,21.455,24.455
"142","CO",8,20170118,"stable",0.062,3.511,-9.706,-3.097,1.056,0.087,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,18.097,21.097,24.097
"143","CO",8,20170119,"stable",0.032,4.671,-9.475,-2.402,1.629,0.402,0.083,0.01,0,0,0,0,0,0,0,0,0,0,0,0,17.402,20.402,23.402
"144","CO",8,20170120,"stable",1.891,5.474,-8.158,-1.342,2.065,0.718,0.236,0.055,0.002,0,0,0,0,0,0,0,0,0,0,0,16.342,19.342,22.342
"145","CO",8,20170121,"stable",1.892,1.656,-7.891,-3.117,0.808,0.07,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,18.117,21.117,24.117
"146","CO",8,20170122,"stable",2.61,1.73,-9.008,-3.639,0.781,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.639,21.639,24.639
"147","CO",8,20170123,"stable",1.598,2.536,-8.824,-3.144,1.254,0.269,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,18.144,21.144,24.144
"148","CO",8,20170124,"stable",3.636,5.569,-6.762,-0.597,2.308,0.897,0.4,0.191,0.081,0.014,0,0,0,0,0,0,0,0,0,0,15.611,18.597,21.597
"149","CO",8,20170125,"stable",1.603,-1.416,-12.159,-6.787,0.332,0.052,0.012,0.002,0,0,0,0,0,0,0,0,0,0,0,0,21.787,24.787,27.787
"150","CO",8,20170126,"stable",0.408,-3.92,-14.879,-9.4,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.4,27.4,30.4
"151","CO",8,20170127,"stable",0.096,-4.419,-17.209,-10.814,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.814,28.814,31.814
"152","CO",8,20170128,"stable",0.173,-1.66,-17.075,-9.368,0.339,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.368,27.368,30.368
"153","CO",8,20170129,"stable",0.222,3.151,-12.175,-4.512,1.349,0.337,0.053,0.005,0,0,0,0,0,0,0,0,0,0,0,0,19.512,22.512,25.512
